Plot ID,Scientific Name,Performance Standard Approval,Planted or Volunteer?,X Coordinate (m),Y Coordinate (m),MY0 Height,MY1 Height,MY2 Height,MY3 Height,MY4 Height,MY5 Height,MY6 Height,MY7 Height,MY8 Height,MY9 Height,MY10 Height,MY11 Height,MY12 Height,Map_ID
2,Platanus occidentalis,Approved Mit Plan,Planted,1.4,0.5,0.59,,,,,,,,,,,,,A
2,Betula nigra,Approved Post Mit Plan,Planted,1.1,2,0.73,,,,,,,,,,,,,B
2,Platanus occidentalis,Approved Mit Plan,Planted,1.1,4.1,0.49,,,,,,,,,,,,,C
2,Platanus occidentalis,Approved Mit Plan,Planted,1.1,7.2,0.71,,,,,,,,,,,,,D
2,Sambucus canadensis,Approved Post Mit Plan,Planted,1.1,9.7,0.82,,,,,,,,,,,,,E
2,Alnus serrulata,Approved Mit Plan,Planted,4.9,9.2,0.49,,,,,,,,,,,,,F
2,Platanus occidentalis,Approved Mit Plan,Planted,4.9,7.5,0.73,,,,,,,,,,,,,G
2,Lindera benzoin,Approved Post Mit Plan,Planted,4.8,5.9,0.50,,,,,,,,,,,,,H
2,Sambucus canadensis,Approved Post Mit Plan,Planted,4.5,2.7,0.86,,,,,,,,,,,,,I
2,Alnus serrulata,Approved Mit Plan,Planted,5.0,0.4,0.63,,,,,,,,,,,,,J
2,Platanus occidentalis,Approved Mit Plan,Planted,9.2,0.3,0.39,,,,,,,,,,,,,K
2,Platanus occidentalis,Approved Mit Plan,Planted,9.1,2.1,0.45,,,,,,,,,,,,,L
2,Carpinus caroliniana,Approved Post Mit Plan,Planted,9.1,5.7,0.47,,,,,,,,,,,,,M 
2,Platanus occidentalis,Approved Mit Plan,Planted,9.1,7.5,0.07,,,,,,,,,,,,,N
2,Sambucus canadensis,Approved Post Mit Plan,Planted,9.2,9.3,0.46,,,,,,,,,,,,,O 